Time,Total Memory,Free Memory,Current JVM Threads,Max JVM Threads,Total Sessions,Max Sessions,Session Average Time,Running Service Threads,Max Running Service Threads,Request Average Time,New Requests,Completed Requests
2022-09-24 09:17:34 CEST,268435456,116873352,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:18:34 CEST,268435456,115721832,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:19:34 CEST,268435456,72617944,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:20:34 CEST,268435456,65225448,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:21:34 CEST,268435456,63598160,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:22:34 CEST,268435456,62404272,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:23:34 CEST,268435456,60925008,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:24:34 CEST,268435456,102191088,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:25:34 CEST,268435456,94806888,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:26:34 CEST,268435456,93501560,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:27:34 CEST,268435456,91873064,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:28:34 CEST,268435456,90517040,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:29:34 CEST,268435456,54372808,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:30:34 CEST,268435456,47364240,138,139,1,12,0,0,1,0,0,0
2022-09-24 09:31:34 CEST,268435456,42389280,138,139,2,12,27,0,1,23,1,1
2022-09-24 09:32:34 CEST,268435456,38539808,138,139,2,12,0,0,1,0,0,0
2022-09-24 09:33:34 CEST,268435456,36793728,138,139,2,12,0,0,1,0,0,0
2022-09-24 09:34:34 CEST,268435456,81614416,138,139,2,12,0,0,1,0,0,0
2022-09-24 09:35:34 CEST,268435456,74226568,138,139,2,12,0,0,1,0,0,0
2022-09-24 09:36:34 CEST,268435456,72974400,138,139,2,12,0,0,1,0,0,0
2022-09-24 09:37:34 CEST,268435456,71692840,138,139,2,12,0,0,1,0,0,0
2022-09-24 09:38:34 CEST,268435456,70514352,138,139,2,12,0,0,1,0,0,0
