Time,Total Memory,Free Memory,Current JVM Threads,Max JVM Threads,Total Sessions,Max Sessions,Session Average Time,Running Service Threads,Max Running Service Threads,Request Average Time,New Requests,Completed Requests
2022-09-23 22:33:32 CEST,268435456,83596520,133,133,1,12,161,0,0,0,0,0
2022-09-23 22:34:32 CEST,268435456,68716408,136,136,3,12,30,0,0,0,0,0
2022-09-23 22:40:59 CEST,268435456,54095976,130,130,1,1,0,0,0,0,0,0
2022-09-23 22:41:59 CEST,268435456,47235048,130,130,0,1,56736,0,0,0,0,0
2022-09-23 22:42:59 CEST,268435456,112468032,134,134,2,3,47,0,0,0,0,0
2022-09-23 22:56:03 CEST,268435456,67065656,133,133,2,2,99,0,0,0,0,0
2022-09-23 23:04:17 CEST,268435456,108980984,134,134,3,12,268,0,0,0,0,0
2022-09-23 23:05:17 CEST,268435456,83082352,134,134,3,12,0,0,0,0,0,0
2022-09-23 23:06:17 CEST,268435456,94935376,134,134,3,12,0,0,0,0,0,0
2022-09-23 23:07:17 CEST,268435456,84651912,134,134,3,12,0,0,0,0,0,0
2022-09-23 23:08:17 CEST,268435456,92452048,138,138,3,12,0,0,0,0,0,0
2022-09-23 23:09:17 CEST,268435456,91004536,138,138,3,12,0,0,0,0,0,0
2022-09-23 23:10:17 CEST,268435456,87282032,138,138,3,12,0,0,0,0,0,0
2022-09-23 23:11:17 CEST,268435456,72886328,138,138,3,12,0,0,0,0,0,0
2022-09-23 23:12:17 CEST,268435456,64698800,138,138,3,12,0,0,0,0,0,0
2022-09-23 23:13:34 CEST,268435456,100618208,138,138,3,12,0,0,0,0,0,0
2022-09-24 01:56:53 CEST,268435456,88861576,138,138,3,12,38,0,0,0,0,0
2022-09-24 03:58:27 CEST,268435456,78661368,139,139,0,12,10375563,0,0,0,0,0
2022-09-24 06:48:30 CEST,268435456,66917936,139,139,0,12,13,0,0,0,0,0
2022-09-24 08:26:09 CEST,268435456,55174472,138,139,0,12,0,0,0,0,0,0
2022-09-24 08:35:33 CEST,268435456,81040128,138,139,1,12,0,0,0,0,0,0
2022-09-24 08:36:33 CEST,268435456,76556880,137,139,1,12,10,0,0,0,0,0
2022-09-24 08:37:33 CEST,268435456,73447560,137,139,1,12,0,0,0,0,0,0
2022-09-24 08:38:33 CEST,268435456,51401664,137,139,2,12,0,0,0,0,0,0
2022-09-24 08:39:33 CEST,268435456,100968536,137,139,2,12,0,0,0,0,0,0
2022-09-24 08:40:33 CEST,268435456,107865184,137,139,2,12,0,0,1,216,1,1
2022-09-24 08:41:33 CEST,268435456,93999168,137,139,2,12,0,0,1,0,0,0
2022-09-24 08:42:33 CEST,268435456,63476632,138,139,2,12,0,0,1,295,1,1
2022-09-24 08:43:33 CEST,268435456,79762440,138,139,2,12,0,0,1,0,0,0
2022-09-24 08:44:33 CEST,268435456,116577608,138,139,2,12,0,0,1,42,1,1
2022-09-24 08:45:33 CEST,268435456,62675392,138,139,2,12,0,0,1,0,0,0
2022-09-24 08:46:33 CEST,268435456,38279360,138,139,2,12,0,0,1,0,0,0
2022-09-24 08:47:33 CEST,268435456,92662264,138,139,2,12,190324,0,1,0,0,0
